Result 8 - screen3.png

                                                                                                                                                            Bounding Box                 Text  Confidence                    Bounding Box Top Left                Bounding Box Bottom Right
0                                                                                                                             [[22, 17], [130, 17], [130, 69], [22, 69]]                 4.16    0.895573                                 [22, 17]                                [130, 69]
1                                                                                                                             [[207, 9], [278, 9], [278, 75], [207, 75]]                    0    0.993164                                 [207, 9]                                [278, 75]
2                                                                                                                       [[629, 173], [818, 173], [818, 260], [629, 260]]                 Cart    0.891361                               [629, 173]                               [818, 260]
3                                                                                                                       [[492, 471], [853, 471], [853, 551], [492, 551]]       Explorinc Life    0.865470                               [492, 471]                               [853, 551]
4                                                                                                                       [[489, 578], [621, 578], [621, 651], [489, 651]]                 Gray    0.999994                               [489, 578]                               [621, 651]
5                                                                                                                       [[494, 726], [726, 726], [726, 787], [494, 787]]             $ 134.00    0.614685                               [494, 726]                               [726, 787]
6                                                                                                                   [[1203, 757], [1246, 757], [1246, 807], [1203, 807]]                    2    1.000000                              [1203, 757]                              [1246, 807]
7                                                                                                                     [[492, 966], [853, 966], [853, 1043], [492, 1043]]       Explorinc Life    0.999977                               [492, 966]                              [853, 1043]
8                                                                                                                   [[495, 1222], [693, 1222], [693, 1278], [495, 1278]]              S 10.00    0.796090                              [495, 1222]                              [693, 1278]
9                                                                                                               [[1099, 1240], [1250, 1240], [1250, 1309], [1099, 1309]]                   -2    0.172558                             [1099, 1240]                             [1250, 1309]
10                                                                                                                  [[627, 1487], [815, 1487], [815, 1537], [627, 1537]]           Delete all    0.999225                              [627, 1487]                              [815, 1537]
11                                                                                                                  [[102, 2469], [525, 2469], [525, 2541], [102, 2541]]   Total ( 4 items ):    0.704678                              [102, 2469]                              [525, 2541]
12                                                                                                              [[1157, 2471], [1389, 2471], [1389, 2532], [1157, 2532]]             $ 288.00    0.810909                             [1157, 2471]                             [1389, 2532]
13                                                                                                                  [[404, 2615], [943, 2615], [943, 2678], [404, 2678]]  Proceed to checkout    0.847793                              [404, 2615]                              [943, 2678]
14                                                                                                                  [[852, 2946], [948, 2946], [948, 2988], [852, 2988]]                 Cart    0.999974                              [852, 2946]                              [948, 2988]
15  [[499.9355997102224, 1069.0813981164456], [621.6892466446883, 1087.9374822845546], [610.0644002897776, 1147.9186018835544], [488.3107533553117, 1129.0625177154454]]                 Gray    0.999999  [499.9355997102224, 1069.0813981164456]  [610.0644002897776, 1147.9186018835544]

Processing time for image 8: 0.539 seconds
